id,VOLUME OFERECIDAS,PERDA DE LOG,CLIENTE,HC PREVISTO S/ INDISP.,NS PREVISTO,REUNIAO,NR17,HC BRUTO,VOLUME ATENDIDAS,TREINAMENTO,TC_ID,GRUPO,FEEDBACK,OPERAÇÃO PUNCH,TMO PREVISTO,ABS,PRODUTO,SISTEMA,SITE,DATA,CELULA,BANHEIRO,INTERVALO,TO,FÉRIAS
rec09OAo9Z8E57wTP,44.1534,0,ALELO PAT,18.323,0.987215,0,0.163265,24.3096,44.1534,0.03,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,477.973,0,CAE PAT,0.04,-,2024-08-19,ATENDIMENTO,0.013,14:00:00,0,0
rec09Sf6De4mlARdk,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,,0,PERSONALIZADA,0.0,-,2024-08-11,ATENDIMENTO,0.013,22:00:00,0,0
rec09Si9fX0CPMhdS,2.67753,0,ALELO PAT,5.42857,1.0,0,0.163265,5.42857,2.67753,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,385.284,0,CAC,0.0,-,2024-08-14,ATENDIMENTO,0.0,09:00:00,0,0
rec09vdyURpYZ8ocK,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-08-04,ATENDIMENTO,0.013,20:00:00,0,0
rec0A9TbY1xZva8w6,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.03,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,FORÇA DE VENDAS,0.015,-,2024-08-07,ATENDIMENTO,0.013,21:00:00,0,0
rec0Agy8Gmad1eLA0,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-03,ATENDIMENTO,0.013,13:00:00,0,0
rec0Ao9UJxvI1omDh,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.035,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,FORÇA DE VENDAS,0.015,-,2024-08-21,ATENDIMENTO,0.013,00:00:00,0,0
rec0ArvWeZmq1rU2p,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-08-31,ATENDIMENTO,0.013,17:00:00,0,0
rec0B75v71sBij1da,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-04,ATENDIMENTO,0.013,13:00:00,0,0
rec0BGcx3GP8l9maw,1.57086,0,ALELO PAT,3.39286,1.0,0,0.163265,3.39286,1.57086,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,369.344,0,CAB,0.0,-,2024-08-23,ATENDIMENTO,0.0,09:30:00,0,0
rec0BSB9i4AxtvlFk,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAP,0.0,-,2024-08-09,ATENDIMENTO,0.0,22:00:00,0,0
rec0BSWzpDmpT7XiG,84.2126,0,ALELO PAT,16.723,0.982252,0,0.105263,19.9145,84.2126,0.04,1415,NEOBPO,0,MCZ II - ALELO - CAU,200.836,0,CAU COMPLETO,0.0,MCZ II,2024-08-15,ATENDIMENTO,0.015,14:00:00,0,0
rec0BWiYZZHVYXckZ,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-03,ATENDIMENTO,0.013,10:30:00,0,0
rec0BbcQzQzpU8USy,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,,0,CAE PAT,0.0,-,2024-08-11,ATENDIMENTO,0.0,14:00:00,0,0
rec0BtWETlDbpLAoC,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-25,ATENDIMENTO,0.013,04:30:00,0,0
rec0ByaBKQWLJGJF1,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAB,0.0,-,2024-08-31,ATENDIMENTO,0.0,09:30:00,0,0
rec0DTo8HdCpwl81h,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.035,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,0.0,0,CAE PAT,0.04,-,2024-08-13,ATENDIMENTO,0.013,22:30:00,0,0
rec0DmMJU7BoMgYcg,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.03,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,0.0,0,CAE PAT,0.04,-,2024-08-22,ATENDIMENTO,0.013,21:30:00,0,0
rec0EB3Wymu9RsPJP,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAC,0.0,,2024-09-01,ATENDIMENTO,0.0,19:30:00,0,0
rec0EBbcn5XBa5p16,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,,0,CAE PAT,0.0,-,2024-08-17,ATENDIMENTO,0.0,22:00:00,0,0
rec0EIyvLmU9eJIaf,37.342,0,ALELO PAT,11.0983,0.838718,0,0.163265,15.0234,37.342,0.045,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,492.71,0,CAE PAT,0.04,-,2024-08-23,ATENDIMENTO,0.013,09:00:00,0,0
rec0EUrt0jCwXuDD7,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAP,0.0,-,2024-08-18,ATENDIMENTO,0.0,09:00:00,0,0
rec0EWz0wC7JRj8xi,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAB,0.0,-,2024-08-27,ATENDIMENTO,0.0,22:00:00,0,0
rec0EXg5b9qSAYzW9,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.035,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,0.0,0,PREMIUM Premium,0.097,-,2024-08-06,ATENDIMENTO,0.013,01:30:00,0,0
rec0FPaoEhKpInUna,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.035,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,0.0,0,PERSONALIZADA,0.097,-,2024-08-06,ATENDIMENTO,0.013,19:00:00,0,0
rec0FbMKgh3lvNUlD,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAC,0.0,-,2024-08-22,ATENDIMENTO,0.0,23:30:00,0,0
rec0Ff5Cr9138E4wE,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAC,0.0,-,2024-08-26,ATENDIMENTO,0.0,05:00:00,0,0
